direction,regime,Force,feedrate,Gfl_dB
RD,3,-1,1,8.927610463335078
RD,3,-1,1,8.350263125044393
RD,3,-1,1,14.89772451164674
RD,3,-1,1,10.473094222493486
RD,3,-1,1,6.441188274148999
RD,3,-1,1,7.349275453412929
RD,3,-1,1,5.650634443373779
RD,3,-1,1,6.549795735152664
RD,3,-1,1,7.74400852652132
RD,3,-1,1,6.728463507606204
RD,3,-1,1,6.459925281937942
RD,3,-1,1,6.604005446102672
RD,3,-1,1,7.911060638833138
RD,3,-1,1,6.282264398978175
RD,3,-1,1,6.059605567213104
RD,3,-1,1,8.59059462226016
RD,3,-1,1,11.96988371050626
RD,3,-1,1,10.874375163374168
RD,3,-1,1,5.700666147117808
RD,3,-1,1,8.211230627983817
RD,3,-1,1,5.817913191465038
RD,3,-1,1,5.617725427213678
RD,3,-1,1,7.353261184673006
RD,3,-1,1,6.290755675109754
RD,3,-1,1,7.889327333560061
RD,3,-1,1,7.129139893833312
RD,3,-1,1,6.504206074170753
RD,3,-1,1,7.027311408321459
RD,3,-1,1,6.416492070226081
RD,3,-1,1,7.09324329670757
RD,3,-1,1,7.110732056731077
RD,3,-1,1,7.732727894305
RD,3,-1,1,6.301209261954224
RD,3,-1,1,7.329841241443837
RD,3,-1,1,9.192231217015046
RD,3,-1,1,5.968324377910523
RD,3,-1,1,6.531635057752965
RD,3,-1,1,7.765519611051168
RD,3,-1,1,9.538906511467395
RD,3,-1,1,12.421969876448635
RD,3,-1,1,7.758168981346838
RD,3,-1,1,7.151787461053782
RD,3,-1,1,6.798095568445621
RD,3,-1,1,7.000585954048866
RD,3,-1,1,7.9662309885233995
RD,3,-1,1,7.11621656035307
RD,3,-1,1,6.585847216159735
RD,3,-1,1,7.472048932068613
RD,3,-1,1,7.612473435069571
RD,3,-1,1,7.854763088384686
RD,3,-1,1,7.529222436026934
RD,3,-1,1,6.725997195027276
RD,3,-1,1,6.881051215286931
RD,3,-1,1,7.447127492218044
RD,3,-1,1,6.3815946947396895
RD,3,-1,1,5.695319743725857
RD,3,-1,1,8.436312281537308
RD,3,-1,1,6.543918194474028
RD,3,-1,1,7.275733037346512
RD,3,-1,1,6.692374524760787
RD,3,-1,1,7.451662230007194
RD,3,-1,1,7.622643232325288
RD,3,-1,1,7.837923760635359
RD,3,-1,1,8.192328849945092
RD,3,-1,1,7.075590075499925
RD,3,-1,1,7.1736632992003635
RD,3,-1,1,6.494775322689268
RD,3,-1,1,9.873746951823215
RD,3,-1,1,8.484070535571906
RD,3,-1,1,9.627648743374309
RD,3,-1,1,9.503915499382725
RD,3,-1,1,5.268843210376559
RD,3,-1,1,8.192880226750692
RD,3,-1,1,7.39729031018296
RD,3,-1,1,7.430900390964723
RD,3,-1,1,10.336965607664794
RD,3,-1,1,9.091495600512953
RD,3,-1,1,8.900508083507308
RD,3,-1,1,10.148321106390998
RD,3,-1,1,7.150462918689193
RD,3,-1,1,7.594002170152425
RD,3,-1,1,7.811707821493563
RD,3,-1,1,7.741863027146021
RD,3,-1,1,6.638299111770092
RD,3,-1,1,7.355419711606093
RD,3,-1,1,7.919527284967245
RD,3,-1,1,7.1156210703434475
RD,3,-1,1,6.755762995273269
RD,3,-1,1,9.462012910353153
RD,3,-1,1,7.187672909810949
RD,3,-1,1,6.290190401164075
RD,3,-1,1,7.688671825602018
RD,3,-1,1,8.304293943008698
RD,3,-1,1,8.472895469917674
RD,3,-1,1,6.921694900642166
RD,3,-1,1,6.606654635050653
RD,3,-1,1,7.583998224864406
RD,3,-1,1,7.851946603354971
RD,3,-1,1,7.8640992802559495
RD,3,-1,1,7.574733352502623
RD,3,-1,1,7.198119139750805
RD,3,-1,1,7.766272035666919
RD,3,-1,1,7.866026999135567
RD,3,-1,1,8.193205021436683
RD,3,-1,1,6.602164310945522
RD,3,-1,1,6.598864341274382
RD,3,-1,1,7.206189996629853
RD,3,-1,1,6.561788623543734
RD,3,-1,1,6.726416066308012
RD,3,-1,1,7.539978663302556
RD,3,-1,1,5.584053166084679
RD,3,-1,1,7.191262591436498
RD,3,-1,1,7.024130597331073
RD,3,-1,1,7.254534695142993
RD,3,-1,1,6.487927282755344
RD,3,-1,1,7.358816157468855
RD,3,-1,1,7.326575930927781
RD,3,-1,1,8.701528661731981
RD,3,-1,1,8.962151371277223
RD,3,-1,1,6.947652044788146
RD,3,-1,1,8.716898355532354
RD,3,-1,1,7.790370026297246
RD,3,-1,1,6.715311586494881
RD,3,-1,1,6.611625009879916
RD,3,-1,1,6.970870318113196
RD,3,-1,1,6.214477355502819
RD,3,-1,1,7.918737738622266
RD,3,-1,1,5.935017917516188
RD,3,-1,1,7.357051064509754
RD,3,-1,1,7.1991796713296985
RD,3,-1,1,8.217931195724368
RD,3,-1,1,6.915795199704231
RD,3,-1,1,6.929071245141429
RD,3,-1,1,7.603322876532221
RD,3,-1,1,6.449650985290898
RD,3,-1,1,6.105770978058338
RD,3,-1,1,9.364383268098795
RD,3,-1,1,10.009027772618833
RD,3,-1,1,7.542251472998842
RD,3,-1,1,6.3424640984312575
RD,3,-1,1,7.296638136597036
RD,3,-1,1,10.187752868141953
RD,3,-1,1,10.179821928174935
RD,3,-1,1,10.471123059973202
RD,3,-1,1,8.837126045822945
RD,3,-1,1,7.353123541956794
RD,3,-1,1,6.432060106833646
RD,3,-1,1,7.268228153373979
RD,3,-1,1,6.739356438216646
RD,3,-1,1,5.561644395873238
RD,3,-1,1,7.43028399209809
RD,3,-1,1,5.923235866496395
RD,3,-1,1,6.81551250637936
RD,3,-1,1,6.143954755911452
RD,3,-1,1,5.5202095160455755
RD,3,-1,1,6.59278667198965
RD,3,-1,1,8.787100406708603
RD,3,-1,1,6.927874144148305
RD,3,-1,1,7.789093132984437
RD,3,-1,1,5.938348130921476
RD,3,-1,1,8.27256793552225
RD,3,-1,1,6.522684120611331
RD,3,-1,1,7.49951562556916
RD,3,-1,1,8.498328977311917
RD,3,-1,1,8.37205495841749
RD,3,-1,1,7.9750528613967475
RD,3,-1,1,9.420463886886417
RD,3,-1,1,8.054955435127571
RD,3,-1,1,8.238794129330689
RD,3,-1,1,7.7856372655062955
RD,3,-1,1,7.66275608229785
RD,3,-1,1,6.209903152784992
RD,3,-1,1,7.722407892408967
RD,3,-1,1,8.879369288421302
RD,3,-1,1,8.03862539170531
RD,3,-1,1,7.190117124458322
RD,3,-1,1,7.859423203088554
RD,3,-1,1,7.720305409924713
RD,3,-1,1,6.083744680389387
RD,3,-1,1,6.069280612619803
RD,3,-1,1,6.982984556382892
RD,3,-1,1,7.2297250576394845
RD,3,-1,1,6.535635791765717
RD,3,-1,1,6.696181224164679
RD,3,-1,1,7.7627664384708694
RD,3,-1,1,7.087290858463717
RD,3,-1,1,10.68812080186909
RD,3,-1,1,9.26926915656658
RD,3,-1,1,8.254746263801351
RD,3,-1,1,6.8887509477608155
RD,3,-1,1,6.999718910354762
RD,3,-1,1,7.4519715345658
RD,3,-1,1,7.683119939574503
RD,3,-1,1,9.185742309984679
RD,3,-1,1,7.742247795241237
RD,3,-1,1,8.210626178302753
RD,3,-1,1,8.340570008666859
